title,description,pubdate
First pill to treat Covid gets approval in UK,The tablet - molnupiravir - will be given twice a day to patients recently diagnosed with the disease.,"Thu, 04 Nov 2021 10:59:14 GMT"
Owen Paterson: Government U-turn over MPs' conduct plan,"Labour says the Tory move to cancel Owen Paterson's suspension saw the PM ""lead his troops through the sewer"".","Thu, 04 Nov 2021 12:16:32 GMT"
Bank of England holds interest rates at record low,The Bank's policymakers vote 7-2 to keep rates at 0.1% despite rising inflation.,"Thu, 04 Nov 2021 12:12:29 GMT"
Cleo Smith: Australian man charged over four-year-old's abduction,The four-year-old was found in a locked home 18 days after disappearing while on holiday with family.,"Thu, 04 Nov 2021 11:05:53 GMT"
Sarah Jayne Dunn: Hollyoaks star axed over Only Fans photos,"Sarah Jayne Dunn, who plays Mandy in the TV soap, refused to stop offering photo subscriptions.","Thu, 04 Nov 2021 10:46:50 GMT"
HPV vaccine cutting cervical cancer by nearly 90%,Researchers say regular cervical screening may not be necessary because of the success of the vaccine.,"Thu, 04 Nov 2021 08:58:49 GMT"
Amanda Knox on how she thinks her case would be viewed today,She speaks about losing control of her identity during the Meredith Kercher murder investigation.,"Thu, 04 Nov 2021 08:01:08 GMT"
European manhunt for £26m celebrity burglaries suspect,Alfredo Lindley is accused of involvement in burglaries that targeted stars including Frank Lampard.,"Thu, 04 Nov 2021 06:47:24 GMT"
Insulate Britain blocks roads around Parliament,"One protester said drivers have suggested the group campaigns at Parliament - ""so we took that advice"".","Thu, 04 Nov 2021 11:13:09 GMT"
JD Sports furious after being forced to sell Footasylum,"The sportswear retailer's chairman said the UK competition watchdog's ruling was ""beyond logic"".","Thu, 04 Nov 2021 10:45:49 GMT"
Migrant crossings: One dead and second missing off French coast,French authorities say they have rescued about 400 people from small boats near Calais.,"Thu, 04 Nov 2021 07:25:43 GMT"
COP26: More than 40 countries pledge to quit coal,"Big coal users like Poland and Vietnam vow to phase it out, but China, India and the US have not.","Thu, 04 Nov 2021 11:03:31 GMT"
COP26: Has the Glasgow climate summit been poorly organised?,"As the climate summit enters its fifth day, some grassroots delegates have described the event as ""shambolic"".","Thu, 04 Nov 2021 11:28:41 GMT"
The Papers: Sleaze rules 'torn up' by 'shameless' Tory MPs,The front pages react to the news an MP has avoided suspension for breaching Commons rules.,"Thu, 04 Nov 2021 05:26:05 GMT"
Cottage where Jerusalem hymn written 'at risk' ,William Blake wrote the lyrics to the hymn at the cottage in West Sussex in the 1800s.,"Thu, 04 Nov 2021 06:24:07 GMT"
I want to feel as safe as men on public transport,Some victims say they are more willing to report sexual harassment following coverage of violence against women.,"Thu, 04 Nov 2021 00:23:38 GMT"
Sharks are my best friends,"Almost every day for 40 years, expert diver Jim Abernethy has been swimming with sharks in the Bahamas.","Thu, 04 Nov 2021 00:19:55 GMT"
And the Booker Prize winner is...,Watch the moment South African author Damon Galgut won the Booker Prize for fiction for The Promise.,"Thu, 04 Nov 2021 00:20:33 GMT"
UK's 'longest-lasting' snow patch melts away,"Dubbed the Sphinx, the snow on a remote Scottish mountain has in the past survived for decades at a time.","Wed, 03 Nov 2021 07:38:37 GMT"
Largest Anglo-Saxon gold coin hoard found in Norfolk,Some of the 131 coins were made from the same die as those found at the Sutton Hoo ship burial.,"Wed, 03 Nov 2021 16:32:33 GMT"
Halloween's over - what should I do with my costume?,Millions of costumes end up in the landfill each year as part of the Halloween plastic aftermath.,"Wed, 03 Nov 2021 16:49:40 GMT"
Gucci Love Parade: Macaulay Culkin and Jared Leto among catwalk stars,"Miley Cyrus, Lizzo and Billie Eilish were also at the outdoor fashion show on Hollywood Boulevard.","Wed, 03 Nov 2021 15:06:04 GMT"
Will complacency damage Covid booster rollout?,Millions of over-50s and others have had a third jab - but could they have been rolled out more quickly?,"Wed, 03 Nov 2021 11:00:09 GMT"
Interest rates: What are they and why do they matter?,The Bank Rate is one of the main tools used to keep the economy growing steadily.,"Thu, 04 Nov 2021 12:06:00 GMT"
How more of us are leaving screens behind to work outdoors,"The pandemic has led to more people taking up work outside, such as becoming gardeners.","Thu, 04 Nov 2021 00:02:05 GMT"
Why free nursery childcare can come with costly extras,"Despite a policy of free nursery childcare in England - in practice, free does not always mean free.","Thu, 04 Nov 2021 00:06:40 GMT"
Greeks fear megafires could be new normal for Med,On the Greek island of Evia last summer an intense conflagration took almost two weeks to control.,"Thu, 04 Nov 2021 01:01:22 GMT"
"Abuse support fight 'like being controlled again', say CSE victims",Women who were sex trafficked as teens say they are fighting for support they are entitled to.,"Thu, 04 Nov 2021 01:18:15 GMT"
"Schitt's Creek's Dan Levy on memes, representation and 'Ew David'","Dan Levy tells Newsbeat about iconic memes, the Rose family and LGBTQ+ representation on his show.","Thu, 04 Nov 2021 01:18:08 GMT"
Ethiopia's war one year on: How to end the suffering,"Rebels advance towards the capital, while Prime Minister Abiy Ahmed vows to ""bury his enemies"".","Thu, 04 Nov 2021 01:43:33 GMT"
Revealed: The Cryptoqueen's £13.5m London penthouse,The story of cryptocurrency scammer Dr Ruja Ignatova's London flat - and how her purchase was concealed.,"Wed, 03 Nov 2021 00:06:41 GMT"
The teacher defying the Taliban on girls' education,"A UK woman set up an online school for Afghan girls. Weeks in, she has nearly a thousand students.","Wed, 03 Nov 2021 09:15:26 GMT"
Azeem Rafiq: Yorkshire call board meeting for Friday to discuss racism allegations,Yorkshire calls an unscheduled board meeting for Friday to discuss the ongoing fallout from Azeem Rafiq's racism allegations.,"Thu, 04 Nov 2021 12:10:02 GMT"
England support staff member tests positive for Covid-19,A member of England's support staff tests positive for Covid-19 before Saturday's Autumn Nations Series opener against Tonga at Twickenham.,"Thu, 04 Nov 2021 11:35:58 GMT"
Jenkins to make first Wales appearance in three years against South Africa,Ellis Jenkins will make his first Wales appearance in three years against South Africa in Cardiff on Saturday.,"Thu, 04 Nov 2021 12:00:12 GMT"
Scotland fined for jeering Israel national anthem and 'inappropriate flag',"Fifa fines the Scottish FA £8,000 for fans booing the Israeli national anthem at Hampden and the display of an inappropriate flag.","Thu, 04 Nov 2021 11:26:14 GMT"
Women's Footballer of the Year contender Vivianne Miedema,"BBC Sport profiles the Netherlands and Arsenal striker Vivianne Miedema, one of five nominees for the BBC Women's Footballer of the Year 2021 award.","Thu, 28 Oct 2021 04:49:37 GMT"
2021: A year of wild weather,"If emissions continue rising, Europe can expect 50C heatwaves every three years, the Met Office says.","Wed, 03 Nov 2021 17:19:23 GMT"
Climate change: Why are disabled people so affected by the climate crisis?,"Disabled people are among those worst affected by emergencies, including climate crises - but why?","Thu, 04 Nov 2021 01:20:47 GMT"
What is hydrogen energy and why is it important?,The BBC’s Roger Harrabin takes a look at the tech behind hydrogen energy and its green potential.,"Thu, 04 Nov 2021 00:23:54 GMT"
COP26: How protesters prepared for the Glasgow climate change summit,"Since the COP26 climate change summit started, hundreds of protesters have taken to the city's streets.","Thu, 04 Nov 2021 00:24:03 GMT"
Climate change: What are the big polluters doing to cut carbon emissions?,"The top emissions-producing nations all have plans to tackle global warming, but what progress are they making?","Wed, 03 Nov 2021 14:58:47 GMT"
What is climate change? A really simple guide,"World temperatures are rising because of human activity, and climate change now threatens every aspect of human life.","Wed, 13 Oct 2021 12:50:38 GMT"
"COP26 climate change summit: So far, so good-ish","Three days into the COP26 global climate summit, and the mood is positive.","Wed, 03 Nov 2021 14:36:38 GMT"
What is net zero and how are the UK and other countries doing?,Experts have recommended developed countries adopt targets to reduce emissions to net zero by 2050.,"Wed, 03 Nov 2021 09:39:26 GMT"
My Day at COP26: ‘My police dog doesn't care if Biden is here - he gets on with the job’,Sgt Lynsey Buchanan-Barlas and her dog Nico have been searching Glasgow’s streets for explosives ahead of COP26.,"Wed, 03 Nov 2021 16:58:51 GMT"
COP26: Can countries be forced to meet net zero targets? And more questions,BBC correspondents answer your questions about Glasgow's COP26 climate summit.,"Wed, 03 Nov 2021 11:43:05 GMT"
What's the climate impact of private jets at COP26?,World leaders' use of private jets to attend the climate summit has been called into question.,"Wed, 03 Nov 2021 15:06:40 GMT"
Deforestation: Which countries are still cutting down trees?,World leaders have pledged to stop and reverse deforestation. How do their records stack up?,"Tue, 02 Nov 2021 19:25:52 GMT"
My day at COP26: 'My island home is threatened - we have no hill to run to',"Kathy Jetn̄il-Kijiner, a poet and activist, is at COP26 as a climate envoy for the Marshall Islands in the Pacific Ocean.","Tue, 02 Nov 2021 17:02:46 GMT"
COP26: What climate summit means for one woman in Bangladesh,What do decisions made at a summit in Glasgow mean for a woman in a village on the front line of climate change?,"Tue, 02 Nov 2021 01:01:31 GMT"
Climate change: Is Greta Thunberg right about UK carbon emissions?,The climate activist has questioned the UK's figure on its carbon emissions reduction.,"Mon, 01 Nov 2021 18:11:36 GMT"
Climate change: Five dealmakers who will influence the outcome at COP26,Who are the people who will determine the success or failure of the climate summit?,"Tue, 02 Nov 2021 00:51:37 GMT"
COP26: The issues that stand in the way of progress,"As the serious business of negotiation finally begins in Glasgow, we look at the key barriers to progress.","Mon, 01 Nov 2021 01:14:51 GMT"
"Attenborough at COP26: 'Not fear, but hope'",COP26 people's advocate Sir David Attenborough makes an impassioned plea for action on climate change.,"Mon, 01 Nov 2021 16:17:45 GMT"
"My day at COP26: 'I told world leaders: We're not drowning, we're fighting'",Samoan climate activist Brianna Fruean addressed world leaders at COP26 - she describes what it felt like to speak up for Pacific islanders.,"Mon, 01 Nov 2021 16:59:12 GMT"
Climate change: Four things you can do about your carbon footprint,Small changes to our lifestyles and choices could limit our personal carbon footprint.,"Tue, 26 Oct 2021 00:12:48 GMT"
Climate change: What's it like living in a place where it's 50C?,The BBC has spoken to people around the world about how extreme heat is changing their lives.,"Sun, 31 Oct 2021 00:13:02 GMT"
Can COP26 really save the planet?,Past COPs our science editor went to didn't stop climate change - will this one be any different?,"Sun, 31 Oct 2021 00:23:50 GMT"
COP26: How Glasgow is hosting world leaders,About 120 world leaders from US President Joe Biden to the prime minister of Andorra will be in Glasgow for COP26.,"Sun, 31 Oct 2021 08:54:58 GMT"
COP26: African climate activists' message to world leaders,Young climate activists from Africa share their message to world leaders at COP26.,"Fri, 29 Oct 2021 23:03:26 GMT"
COP26: What do the poorest countries want from climate summit?,"Rich countries will get most of the attention, but developing countries are on climate change's front line.","Wed, 03 Nov 2021 16:30:00 GMT"
COP26: Has Boris Johnson got what it takes to get a deal?,"The UN climate summit is a huge test of diplomacy for the UK prime minister, with considerable political risks.","Fri, 29 Oct 2021 09:56:27 GMT"
COP26: Four numbers to remember ahead of the climate change summit,The Queen cancelling her appearance and a climate pledge delayed - what do they mean for COP26?,"Fri, 29 Oct 2021 00:22:12 GMT"
Pope urges 'radical' climate response in exclusive BBC message,"In an exclusive message recorded for the BBC, Pope Francis addresses world leaders ahead of COP26.","Fri, 29 Oct 2021 06:50:12 GMT"
Europe's floods: Lessons from German tragedy,Recriminations have followed the July floods and the alleged failure to alert residents.,"Fri, 29 Oct 2021 00:25:56 GMT"
COP26: What is the Glasgow climate conference and why is it important?,A crucial climate change summit is being held in the UK - this is why it's important.,"Thu, 04 Nov 2021 10:26:55 GMT"
Covid: When can I get my Covid booster jab?,More than six-and-a-half million people in England have now been offered a third dose of vaccine.,"Wed, 03 Nov 2021 16:53:38 GMT"
What is Covid Plan B and what are the rules across the UK this winter?,Health service figures are calling for stricter Covid restrictions in England to protect the NHS.,"Wed, 03 Nov 2021 11:32:07 GMT"
Covid: How do I get a lateral flow or PCR test?,"Lateral flow tests are more accurate than first thought, according to new research.","Wed, 03 Nov 2021 14:03:42 GMT"
What are the UK's travel rules and what tests do I need for a holiday?,Restrictions on travelling to the UK have been relaxed once more.,"Mon, 01 Nov 2021 15:34:11 GMT"
Covid-19 in the UK: How many coronavirus cases are there in my area?,Explore the data on coronavirus in the UK and find out how many cases there are in your area.,"Wed, 03 Nov 2021 17:33:32 GMT"
What are the rules and guidance for face masks and coverings?,Face coverings could become a legal requirement in England again if the NHS struggles this winter.,"Tue, 02 Nov 2021 16:25:07 GMT"
Covid passports: How do I get one and when will I need it?,People in Scotland and Wales need a Covid passport to go to nightclubs and attend large events.,"Tue, 02 Nov 2021 11:15:32 GMT"
Covid rules: What are the restrictions in your area?,Use our search tool to find out about coronavirus rules and restrictions where you live.,"Mon, 01 Nov 2021 15:29:58 GMT"
"Covid map: Coronavirus cases, deaths, vaccinations by country",Key maps and charts explaining how the virus has spread around the world.,"Mon, 01 Nov 2021 10:23:03 GMT"
Covid: Should I be working from home or going back to the office?,People in England could be told to work from home once again through the autumn and winter.,"Wed, 06 Oct 2021 12:56:03 GMT"
How are pupils being kept Covid-safe?,"Face coverings remain compulsory in Scottish schools, and are being reintroduced in parts of England.","Tue, 19 Oct 2021 13:31:23 GMT"
‘I left university and adopted my brother and sister’,"When Jemma Bere’s family was in crisis, she made a split-second decision that changed the trajectory of her life.","Sat, 23 Oct 2021 23:30:06 GMT"
Sudan coup: Why the army is gambling with the future,"The generals fear they are at risk if civilian rule demands accountability, argues Alex de Waal.","Wed, 27 Oct 2021 01:15:39 GMT"
How Belarus is helping ‘tourists’ break into the EU,"Belarus is accused of taking revenge for EU sanctions by offering migrants tourist visas, and helping them across its border.","Thu, 21 Oct 2021 23:51:33 GMT"
Marshall 'Major' Taylor: The first black American world champion & his fight to the top,"Marshall 'Major' Taylor was the first black American to become a world champion, in 1899. This is his largely forgotten story.","Thu, 28 Oct 2021 23:01:28 GMT"
