Température moyenne,Température maximale,Température minimale,Température maximale record,Température minimale record,Vitesse du vent,Température du vent,Précipitations moyennes par jour,Record de précipitations sur une journée,Précipitations totales sur le mois,Humidité,Visibilité,Couverture nuageuse,Heure du lever du soleil,Heure du coucher du soleil,Durée du jour
14°,16°,13°,20°,16°,17km/h,11°,7mm,50mm,201mm,65%,10km,43%,08:01:00,18:12:00,10:11:0
16°,18°,14°,23°,18°,14km/h,13°,2mm,19mm,37mm,57%,12km,25%,07:50:00,18:41:00,10:51:0
18°,20°,16°,27°,22°,14km/h,15°,2mm,28mm,58mm,62%,12km,30%,07:19:00,19:09:00,11:50:0
18°,20°,17°,25°,22°,17km/h,16°,3mm,22mm,72mm,62%,10km,37%,06:34:00,19:35:00,13:1:0
22°,24°,21°,29°,24°,16km/h,21°,1mm,10mm,22mm,53%,10km,23%,05:55:00,20:00:00,14:5:0
27°,29°,25°,41°,31°,16km/h,25°,1mm,6mm,10mm,58%,13km,14%,05:32:00,20:11:00,14:39:0
30°,32°,29°,38°,32°,19km/h,29°,1mm,4mm,8mm,54%,10km,16%,05:53:00,20:11:00,14:18:0
30°,31°,29°,36°,34°,16km/h,29°,1mm,3mm,15mm,61%,10km,28%,06:18:00,19:55:00,13:37:0
28°,30°,26°,36°,32°,16km/h,27°,3mm,20mm,82mm,62%,10km,29%,06:42:00,19:17:00,12:35:0
25°,26°,23°,33°,29°,16km/h,23°,2mm,10mm,40mm,58%,10km,29%,07:10:00,18:32:00,11:22:0
18°,19°,16°,25°,23°,22km/h,16°,6mm,26mm,159mm,64%,10km,52%,07:41:00,17:51:00,10:10:0
17°,19°,16°,23°,19°,17km/h,16°,1mm,7mm,21mm,62%,10km,29%,08:00:00,17:41:00,9:41:0
